__time,_src_T_in,_src_T_out,_sink_T_out,_sink_T_in,_Energy_kWh,_Q_cond_kW,__interval_h,_T_source_ref_C,_T_sink_ref_C,m_dot_kg_s,P_comp_kW,Q_cond_kW,Q_evap_kW,COP,T2_C,T4_C
2024-09-29 11:29:10.955000,59.72651292917283,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 12:29:10.947500,60.23196551886082,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 13:29:10.940000,57.78843182322453,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 14:29:10.932500,58.237460590653825,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 15:29:10.925000,59.559317828343296,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 16:29:10.917500,60.22662526067495,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 17:29:10.910000,60.285854430558516,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 18:29:10.902500,60.3373697316614,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 19:29:10.895000,60.381465460438505,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 20:29:10.887500,59.97873472294651,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 21:29:10.880000,59.1515642220254,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 22:29:10.872500,58.14588649030571,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 23:29:10.865000,57.85027720393043,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 00:29:10.857500,58.13885212152451,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 01:29:10.850000,58.94490565241324,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-30 02:29:10.842500,59.519892704468134,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
